,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,DEST,DEP_DELAY,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,CRS_ARR_M,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Condition,sch_dep,sch_arr,TAXI_OUT
13,11,1,5,B6,N967JT,SFO,-3,388,2586,410,407,618,46,32,58,W,24,35,29.91,Fair / Windy,17,21,17
15,11,1,5,DL,N703TW,SFO,-6,391,2586,420,414,631,47,33,59,W,24,29,30.0,Fair / Windy,17,21,16
18,11,1,5,AA,N115NN,SFO,-3,386,2586,420,417,626,47,33,59,W,24,29,30.0,Fair / Windy,17,21,18
47,11,1,5,DL,N712TW,SFO,-7,400,2586,490,483,710,50,33,52,W,21,30,30.0,Fair / Windy,46,19,28
80,11,1,5,B6,N969JT,SFO,-3,397,2586,562,559,779,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,15
83,11,1,5,AS,N285AK,SFO,-1,395,2586,570,569,785,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,35
86,11,1,5,DL,N727TW,SFO,-6,387,2586,580,574,787,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,22
100,11,1,5,B6,N989JT,SFO,-7,393,2586,659,652,872,55,31,40,W,20,31,30.05,Fair,16,19,9
101,11,1,5,AA,N117AN,SFO,-6,382,2586,660,654,862,55,31,40,W,20,31,30.05,Fair,16,19,21
110,11,1,5,DL,N721TW,SFO,0,391,2586,685,685,896,55,31,40,W,20,31,30.05,Fair,29,17,17
111,11,1,5,AS,N413AS,SFO,-4,395,2586,690,686,905,55,31,40,W,20,31,30.05,Fair,29,17,20
164,11,1,5,B6,N985JT,SFO,-7,404,2586,930,923,1154,55,31,40,W,14,0,30.12,Fair,25,32,16
183,11,1,5,AA,N112AN,SFO,-2,400,2586,980,978,1200,53,31,43,WNW,15,0,30.14,Fair,24,34,20
193,11,1,5,DL,N713TW,SFO,46,402,2586,956,1002,1178,53,31,43,WNW,15,0,30.14,Fair,24,34,17
198,11,1,5,AS,N419AS,SFO,-7,405,2586,1020,1013,1245,52,30,43,NW,16,0,30.17,Fair,24,34,24
212,11,1,5,AA,N110AN,SFO,10,400,2586,1065,1075,1285,50,29,44,NW,17,0,30.2,Fair,26,30,17
242,11,1,5,B6,N942JB,SFO,-9,409,2586,1180,1171,1409,49,30,48,NNW,12,0,30.21,Fair,40,24,31
250,11,1,5,DL,N718TW,SFO,-7,403,2586,1205,1198,1428,49,30,48,NNW,12,0,30.21,Fair,40,24,30
270,11,1,5,AA,N115NN,SFO,-6,399,2586,1275,1269,54,47,30,52,NNW,15,0,30.23,Fair,34,27,20
286,11,1,5,B6,N968JT,SFO,-7,390,2586,1309,1302,79,47,30,52,NNW,15,0,30.23,Fair,34,27,20
314,11,2,6,AA,N106NN,SFO,-9,386,2586,420,411,626,44,34,68,NNE,6,0,30.26,Fair,15,17,21
330,11,2,6,AS,N433AS,SFO,-8,395,2586,465,457,680,44,34,68,NNE,6,0,30.26,Fair,27,21,23
347,11,2,6,DL,N721TW,SFO,-5,396,2586,490,485,706,46,33,61,NNE,9,0,30.24,Fair,47,18,17
373,11,2,6,B6,N991JT,SFO,-7,397,2586,562,555,779,48,32,54,E,5,0,30.23,Fair,36,11,16
379,11,2,6,AS,N487AS,SFO,-7,395,2586,570,563,785,48,32,54,E,5,0,30.23,Fair,36,11,27
392,11,2,6,AA,N109NN,SFO,-7,382,2586,660,653,862,51,35,54,CALM,0,0,30.17,Partly Cloudy,14,20,22
401,11,2,6,AS,N285AK,SFO,-7,395,2586,690,683,905,51,35,54,CALM,0,0,30.17,Partly Cloudy,27,17,24
402,11,2,6,DL,N727TW,SFO,0,388,2586,685,685,893,51,35,54,CALM,0,0,30.17,Partly Cloudy,27,17,12
459,11,2,6,B6,N945JT,SFO,-4,404,2586,930,926,1154,50,39,66,S,5,0,30.08,Partly Cloudy,26,34,13
464,11,2,6,DL,N705TW,SFO,-6,396,2586,956,950,1172,50,39,66,S,5,0,30.08,Partly Cloudy,26,34,15
474,11,2,6,AA,N103NN,SFO,-5,400,2586,980,975,1200,48,39,71,E,3,0,30.07,Partly Cloudy,29,35,16
492,11,2,6,AS,N253AK,SFO,-8,405,2586,1020,1012,1245,47,40,77,E,5,0,30.06,Mostly Cloudy,29,35,25
541,11,2,6,DL,N704X,SFO,-4,398,2586,1205,1201,1423,48,41,77,NE,5,0,30.05,Mostly Cloudy,24,40,35
560,11,2,6,B6,N980JT,SFO,-4,390,2586,1309,1305,79,48,42,80,NNE,3,0,30.05,Mostly Cloudy,28,22,17
591,11,3,7,B6,N935JB,SFO,-6,388,2586,410,404,618,43,32,65,WNW,12,0,30.05,Fair,16,22,13
592,11,3,7,AA,N107NN,SFO,-7,401,2586,420,413,641,46,34,63,W,13,0,30.11,Fair,16,22,19
596,11,3,7,DL,N711ZX,SFO,-5,391,2586,420,415,631,46,34,63,W,13,0,30.11,Fair,16,22,24
612,11,3,7,AS,N506AS,SFO,-7,395,2586,465,458,680,46,34,63,W,13,0,30.11,Fair,33,33,21
638,11,3,7,DL,N722TW,SFO,-4,400,2586,490,486,710,48,33,56,W,10,0,30.12,Fair,47,14,26
658,11,3,7,B6,N982JB,SFO,-2,397,2586,562,560,779,50,33,52,WNW,10,0,30.12,Fair,32,21,11
661,11,3,7,AS,N474AS,SFO,-4,395,2586,570,566,785,50,33,52,WNW,10,0,30.12,Fair,32,21,22
664,11,3,7,DL,N624AG,SFO,-5,387,2586,580,575,787,50,33,52,WNW,10,0,30.12,Fair,32,21,15
680,11,3,7,B6,N981JT,SFO,-4,393,2586,659,655,872,52,32,47,W,12,18,30.11,Partly Cloudy,19,19,29
683,11,3,7,AA,N113AN,SFO,-3,394,2586,660,657,874,52,32,47,W,12,18,30.11,Partly Cloudy,19,19,32
690,11,3,7,AS,N288AK,SFO,-9,395,2586,690,681,905,52,32,47,W,12,18,30.11,Partly Cloudy,30,23,26
693,11,3,7,DL,N721TW,SFO,0,391,2586,685,685,896,52,32,47,W,12,18,30.11,Partly Cloudy,30,23,23
757,11,3,7,B6,N986JB,SFO,-8,404,2586,930,922,1154,52,30,43,NW,14,0,30.12,Mostly Cloudy,29,36,12
772,11,3,7,DL,N709TW,SFO,1,402,2586,956,957,1178,51,29,43,WNW,10,0,30.14,Mostly Cloudy,29,36,19
780,11,3,7,AA,N116AN,SFO,-1,407,2586,980,979,1207,51,29,43,WNW,10,0,30.14,Mostly Cloudy,29,29,17
792,11,3,7,AS,N459AS,SFO,-6,405,2586,1020,1014,1245,51,28,41,W,10,0,30.16,Mostly Cloudy,29,29,18
800,11,3,7,DL,N707TW,SFO,-1,403,2586,1033,1032,1256,51,28,41,W,10,0,30.16,Mostly Cloudy,33,32,15
809,11,3,7,AA,N108NN,SFO,-5,403,2586,1065,1060,1288,51,28,41,W,10,0,30.16,Mostly Cloudy,33,32,21
830,11,3,7,DL,N705TW,SFO,-3,410,2586,1135,1132,1365,50,28,43,W,9,0,30.18,Partly Cloudy,38,34,19
869,11,3,7,AA,N107NN,SFO,-10,405,2586,1275,1265,60,49,28,44,WNW,10,0,30.22,Fair,39,35,19
888,11,3,7,B6,N945JT,SFO,-2,390,2586,1309,1307,79,49,28,44,WNW,10,0,30.22,Fair,39,35,22
905,11,3,7,B6,N988JT,SFO,271,409,2586,1180,11,1409,53,46,77,SSW,9,0,30.28,Partly Cloudy,7,14,17
922,11,4,1,B6,N986JB,SFO,-6,388,2586,410,404,618,40,32,73,CALM,0,0,30.34,Fair,16,20,11
931,11,4,1,AA,N103NN,SFO,-2,401,2586,420,418,641,44,36,73,E,3,0,30.37,Fair,16,20,19
934,11,4,1,DL,N722TW,SFO,0,397,2586,420,420,637,44,36,73,E,3,0,30.37,Fair,35,28,35
947,11,4,1,AS,N493AS,SFO,-6,395,2586,465,459,680,44,36,73,E,3,0,30.37,Fair,35,28,20
973,11,4,1,DL,N721TW,SFO,-1,405,2586,495,494,720,50,29,44,SE,8,0,30.37,Fair,53,20,17
993,11,4,1,B6,N976JT,SFO,-8,397,2586,562,554,779,52,31,45,SSE,8,0,30.38,Fair,35,20,14
997,11,4,1,AS,N408AS,SFO,-4,395,2586,570,566,785,52,31,45,SSE,8,0,30.38,Fair,35,20,16
1002,11,4,1,DL,N713TW,SFO,-2,400,2586,580,578,800,52,31,45,SSE,8,0,30.38,Fair,35,20,15
1020,11,4,1,AA,N117AN,SFO,-2,394,2586,660,658,874,54,35,49,S,9,0,30.37,Partly Cloudy,18,23,22
1021,11,4,1,B6,N991JT,SFO,-1,393,2586,659,658,872,54,35,49,S,9,0,30.37,Partly Cloudy,18,23,18
1028,11,4,1,DL,N706TW,SFO,-8,396,2586,685,677,901,54,35,49,S,9,0,30.37,Partly Cloudy,32,21,15
